"when","model","cost","id"
"2026-06-08","flux-dev","0.003","zt9hkwrywxrmw0cynakrsk22pg"
"2026-06-08","flux-dev","0.003","a88yyzc7rdrmw0cynamavw2dwr"
"2026-06-08","flux-dev","0.003","rzsym4n1snrmt0cynambaq0kbg"
"2026-06-08","flux-dev","0.003","62pj2q52cdrmy0cynapb5fhn24"
"2026-06-08","flux-dev","0.003","zy4v3x5k35rmt0cynap9pxgj18"
"2026-06-08","flux-dev","0.003","cvz0tadxaxrmr0cynap8jjmtgr"
"2026-06-08","flux-dev","0.003","cyj7k5e6pxrmr0cynap976amb4"
"2026-06-08T21:55:17","flux-dev","0.003","t8nzwe0hvnrmy0cynay9t3r37c"
"2026-06-08T22:13:36","flux-dev","0.003","am5ax6pm2drmt0cynb6835jaj4"
"2026-06-08T22:13:40","flux-dev","0.003","4gs9hqf4gxrmt0cynb69gsks7g"
"2026-06-09T09:31:00","flux-dev","0.003","pzx23f84edrmt0cynmwrzfty6g"
"2026-06-09T09:35:41","flux-dev","0.003","8pmyd7tcj5rmt0cynmyr2jstyw"
"2026-06-09T09:40:59","flux-dev","0.003","pfbfsv9brhrmr0cynn1aet0hx4"
"2026-06-09T09:41:46","flux-dev","0.003","bae6q0ex7nrmw0cynn1a3sp09m"
"2026-06-09T09:45:24","flux-dev","0.003","fy4kz9hhmdrmr0cynn3b6501d4"
"2026-06-09T09:55:40","flux-dev","0.003","8cfcj9wvk5rmr0cynn7t5mcmfm"
"2026-06-09T09:56:02","flux-dev","0.003","v73m9qzew1rmy0cynn7tbh5138"
"2026-06-09T10:07:23","flux-dev","0.003","9h54knam6nrmt0cynndbrtc730"
"2026-06-09T10:08:47","flux-dev","0.003","637gxxcmt5rmt0cynndvba42mm"
"2026-06-09T10:11:53","flux-dev","0.003","fs8z2qkkqdrmr0cynnfaaztkg8"
"2026-06-09T15:02:38","imagen","0.04","adkx8936ksrmy0cynsman2fkw8"
