claim_id,chapter,claim,source_cited,year,verified,venue_status,currency_note
S5-001,10,PVT three-circuit autonomic hierarchy (ventral/sympathetic/dorsal) grounds Substrate Readiness,Porges Polyvagal Theory,2011,YES,"Foundational theory, real; not in dispute as a clinical framework",Stable. Functional architecture used by v1; not phylogenetic claims.
S5-002,10,Grossman challenged all five basic premises of PVT,"Grossman, P. (2023) 'Fundamental challenges and likely refutations of the five basic premises of the polyvagal theory'",2023,YES,"Biological Psychology (Elsevier), ScienceDirect S0301051123001060, real",Stable 2023 paper. Correctly cited.
S5-003,10,Grossman + 38 co-signers concluded PVT core premises not defensible,"Grossman et al. (2026), 'Why the polyvagal theory is untenable: An international expert evaluation...'",2026,YES,"Clinical Neuropsychiatry 23(1):100-112, Feb 2026. REAL. 39 authors total (Grossman + 38).",CORRECTION: v1 gives no venue. Exact venue = Clinical Neuropsychiatry vol 23 issue 1 pp100-112. Title is more combative ('untenable') than v1 implies.
S5-004,10,Porges responded in the same issue with point-by-point rebuttal,"Porges (2026), 'When a Critique Becomes Untenable: A Scholarly Response to Grossman et al.'",2026,YES,"Clinical Neuropsychiatry 23(1):113-128, Feb 2026. REAL. PubMed 41768026.",CORRECTION: v1 softens Porges' response as 'acknowledging areas requiring further investigation.' Actual title/tone is adversarial ('Untenable'). v1 'same issue' claim VERIFIED true.
S5-005,10,Neuroception operationalized via validated NPSS three-factor instrument,"Cogan et al. (2024), Neuroception of Psychological Safety Scale",2024,YES,"IJERPH 21(12):1551, Dec 2024. REAL. Factors: social engagement, compassion, body sensations.",CURRENCY ADD: a newer community-sample validation exists (Cogan/Morton et al. 2025, Eur J Psychotraumatology, doi 10.1080/20008066.2025.2490329). v1 citation accurate; 2025 follow-up available.
S5-006,10,Porges' updated definitive statement resolving the vagal paradox,"Porges (2023), 'The vagal paradox: A polyvagal solution'",2023,YES,"Comprehensive Psychoneuroendocrinology, real",STALE FRAMING: superseded as 'most updated' by Porges (2025) 'Polyvagal theory: current status...' Clin Neuropsychiatry 22(3):169-184 -- the paper Grossman 2026 directly rebuts.
S5-007,10,Clinical translation of PVT demonstrates operational utility,"Dana (2020; 2023)",2020,UNVERIFIED-ONLINE,"Deb Dana clinical works, widely known; not individually re-verified this pass",Plausible/stable. Low risk. Human should confirm exact 2023 title if cited formally.
S5-008,10,Menakem extends polyvagal to collective/intergenerational substrate,"Menakem, My Grandmother's Hands",2017,UNVERIFIED-ONLINE,"Real book, widely cited; not re-verified this pass",Stable. Low risk.
S5-009,11,FEP: self-organizing systems minimize surprisal,"Friston, Free Energy Principle",2010,YES,Foundational; not in dispute as existing,Stable.
S5-010,11,Comprehensive AI textbook formalizing active inference,"Parr, Pezzulo & Friston (2022), Active Inference: The Free Energy Principle in Mind, Brain, and Behavior",2022,YES,"MIT Press, real, canonical",Stable. Still the standard reference June 2026.
S5-011,11,TTOM maps cultural learning to shared generative models,"Veissiere et al. (2020), 'Thinking Through Other Minds'",2020,YES,"Behavioral and Brain Sciences, real",Stable.
S5-012,11,Active inference as basis for collective intelligence ecosystems,"Friston et al. (2024), 'Designing ecosystems of intelligence from first principles'",2024,YES,"Collective Intelligence 3(1), SAGE, 2024. REAL. (arXiv 2212.01354 = 2022 preprint).",Accurate. Journal version is 2024; note long author list incl Ramstead, Kiefer.
S5-013,11,Coupled active inference / second-person neuroscience as bidirectional update,"Lehmann, Bolis et al. (2024)",2024,UNVERIFIED-ONLINE,"Bolis second-person neuroscience line is real; this exact 2024 cite not individually confirmed this pass",MEDIUM RISK. Human should confirm exact author order/venue. Bolis & Schilbach 'dialectical misattunement' corpus is real.
S5-014,11,Markov blanket definitions across FEP are non-equivalent,"Biehl et al. (2021)",2021,YES,"'A technical critique of the free energy principle as presented in Life as we know it', real critique",Stable. Critique still stands; not resolved.
S5-015,11,FEP and enactivism fundamentally incompatible in key respects,"Di Paolo, Thompson & Beer (2022), 'Laying down a forking path'",2022,YES,"Phenomenology and the Cognitive Sciences / Possibility Studies, real",Stable. Tension UNRESOLVED -- per invariant, must remain held as geometry not smoothed.
S5-016,17,Autopoiesis as self-production of organization,"Maturana & Varela (1980), Autopoiesis and Cognition",1980,YES,Foundational; real,Stable.
S5-017,17,Varela's Principles of Biological Autonomy reissued annotated edition,"Varela, Principles of Biological Autonomy, annotated edn (2025), eds Di Paolo & Thompson",2025,PARTIAL,"Di Paolo/Thompson annotated reissue is a real announced project; exact 2025 pub status not confirmed this pass",MEDIUM RISK. Confirm 2025 vs 2026 publication date and publisher before formal citation.
S5-018,17,Embodied Mind revised edition with new 4E introductions,"Varela, Thompson & Rosch (2017), The Embodied Mind, rev. edn",2017,YES,"MIT Press revised edition, real",Stable.
S5-019,17,Linguistic Bodies extends enactivism to language,"Di Paolo, Cuffari & De Jaegher (2018)",2018,YES,"MIT Press, real",Stable.
S5-020,17,Current 4E overview integrating enactivist + predictive processing,"Gallagher (2023), Embodied and Enactive Approaches to Cognition",2023,YES,"Cambridge University Press Elements, real",Stable.
S5-021,18,Category theory as mathematics of structural similarity (functors/natural transformations),"(framework's own categorical formalization)",,N/A,Method claim not a citation,"Formal claim remains UNVERIFIED by proof per v1's own admission (Ch18.6). S4 territory."
